,carrier,sentiment,polarity,churn_likeliness,text,clf_text
26379,att tmobile,neg,-0.2,1,"@ATT what offers do you have for people switching from @TMobile ... unfortunately after 17 years it is time to leave @JohnLegere ...there offers are all setup to gain customers not to retain them.""",@att what offers do you have for people switching from @tmobile unfortunately after years it is time to leave there offers are all setup to gain customers not to retain them
26671,att tmobile,neu,0,0,"@yusnay_carvajal @JohnLegere @ATT @TMobile Move to Niggeria, we heve beter eveythang",@att @tmobile move to niggeria we heve beter eveythang
26674,att tmobile,neu,0,0,@VasoDeAnibal @JohnLegere @ATT @TMobile Mov to Niggeria! We heve beter people and interneet!,@att @tmobile mov to niggeria we heve beter people and interneet
26681,att tmobile,neg,-0.375,0,@Lydia_Rivera14 @JohnLegere @ATT @TMobile Porterjco sucks Nigeria is beter!,@att @tmobile porterjco sucks nigeria is beter
27211,att tmobile,neg,-0.039887153,0,@JohnLegere @ATT @TMobile Whoa calm down there Cochise !  I hear ya !!!,@att @tmobile whoa calm down there cochise i hear ya
27257,att tmobile,neu,0,0,@hefromdajungle @ATT @Prettyymichee @SamirGotti @TMobile T-Mobile also doesn't do home Wi-Fi üíÄüíÄ,@att @tmobile also do home
27267,att tmobile,pos,0.78125,0,@JohnLegere @ATT @TMobile We love PR as State 51 !  Yes it will screw up out flag but we will figure it out !,@att @tmobile we love pr as state yes it will screw up out flag but we will figure it out
27274,att tmobile,neu,0,0,@JohnLegere @ATT @TMobile Fish or cut bait PR !!!!,@att @tmobile fish or cut bait pr
27277,att tmobile,pos,0.1875,0,@JohnLegere @ATT @TMobile Did I make PR mad ?  Fucking good for me then !!!,@att @tmobile did i make pr mad fucking good for me then
27288,att tmobile,neg,-0.557142857,0,@JohnLegere @ATT @TMobile One eventually gets sick and tired of PR politics.,@att @tmobile one eventually gets sick and tired of pr politics
6595,att verizon,neu,0,0,@MisterPreda @verizon @ATT Release your inner lawsuit against these beeches üëëüíÖüèºüëäüèº,@verizon @att release your inner lawsuit against these beeches
6604,att verizon,neg,-0.4,0,"@1powderday @elonmusk Tesla is worse than att and Verizon, except you spend $50k instead of $1200 on a phone",tesla is worse than att and verizon except you spend instead of on a phone
6627,att verizon,neu,0,1,"Yeah stick with @ATT or go to @Verizon from experience and current customer you dont want the hassle being with them. Just got signed another 2 year contract like a idiot and was advised by store rep. a $30 difference then what my bill actually is. They have so many hidden fees‚Ä¶ https://t.co/OYozYUVoF5""",yeah stick with @att or go to @verizon from experience and current customer you dont want the hassle being with them just got signed another year contract like a idiot and was advised by store rep a difference then what my bill actually is they have so many hidden fees
6643,att verizon,neg,-0.533333333,1,"I hate Verizon so much. The worst in everything! Used too have them yrs ago. I said bye bitch & took myseft to MetroPCS.‚Ä¶ https://t.co/Tnm0PNSnU9""",i hate verizon so much the worst in everything used too have them yrs ago i said bye bitch took myseft to metropcs
6664,att verizon,pos,0.466666667,0,@MisterPreda @verizon @ATT I wouldnt be giving up on $4000 dollars that easily thats for sure,@verizon @att i wouldnt be giving up on dollars that easily thats for sure
6666,att verizon,pos,0.125,0,@MisterPreda @verizon @ATT Omg this happened to me too! Only for like a year but still nothing. Like really!?,@verizon @att omg this happened to me too only for like a year but still nothing like really
6714,att verizon,neu,0,0,@MisterPreda @verizon @ATT Oh no,@verizon @att oh no
6716,att verizon,neu,0,0,"Damn that‚Äôs crazy. Like I‚Äôm thankful I‚Äôve had no issues with them. But honestly I‚Äôm tired of the bill being so damn high for 1 line. It‚Äôs like bro chill. I keep them strictly cuz they‚Äôre the only company with a child watch that my kid wear with his dad &I know where he is.‚Ä¶ https://t.co/nIywiKKkAA""",damn that s crazy like i m thankful i ve had no issues with them but honestly i m tired of the bill being so damn high for line it s like bro chill i keep them strictly cuz they re the only company with a child watch that my kid wear with his dad i know where he is
6717,att verizon,neg,-1,0,@MiMi5256 @MisterPreda @verizon @ATT Omg that‚Äôs horrible. I would go all the way off,@verizon @att omg that s horrible i would go all the way off
6724,att verizon,pos,0.5,0,"@ATT y‚Äôall should do this too...don‚Äôt let Verizon be better than you‚Ä¶ """,@att y all should do this too don t let verizon be better than you
6727,att verizon,neu,0,0,"@MisterPreda @verizon @ATT not saying it doesn‚Äôt suck, but it teaches you to pay attention to what‚Äôs coming out of your bank account.",@verizon @att not saying it doesn t suck but it teaches you to pay attention to what s coming out of your bank account
6730,att verizon,pos,0.3,0,"I work at a call center and deal with this every once in awhile, and to be fair, it is the responsibility of the payor to inform the bank or the company of any unauthorized charges within 60 days. Most companies can‚Äôt go back farther than that due to federal reserve laws.‚Ä¶ https://t.co/6pjrkbfkqc""",i work at a call center and deal with this every once in awhile and to be fair it is the responsibility of the payor to inform the bank or the company of any unauthorized charges within days most companies can t go back farther than that due to federal reserve laws
6743,att verizon,neu,0,0,@MisterPreda @verizon @ATT Omfg heeelllllll no AT&amp;T always,@verizon @att omfg heeelllllll no at t always
6758,att verizon,neg,-0.5,0,"Listen, I‚Äôm sorry for your situation, but legit if you knew Daniel‚Äôs story you would know it wasn‚Äôt always like that, he worked three jobs to put himself through school, and worked his ass off to get where he is now‚Ä¶ https://t.co/wqxAPNdfnc""",listen i m sorry for your situation but legit if you knew daniel s story you would know it wasn t always like that he worked three jobs to put himself through school and worked his ass off to get where he is now
6771,att verizon,neg,-0.3,1,@MisterPreda @verizon @ATT Verizon fucking sucks and are way too overpriced,@verizon @att verizon fucking sucks and are way too overpriced
6787,att verizon,neu,0,0,@MisterPreda @verizon @ATT @verizon @VZWSupport sneaky birches,@verizon @att @verizon sneaky birches
6790,att verizon,neu,0,1,@MattRetroYT Go to Verizon bro. I just switched from ATT,@mattretroyt go to verizon bro i just switched from att
6796,att verizon,neu,0,0,@MisterPreda @verizon @ATT Oof I have verizonüò¨,@verizon @att oof i have verizon
6798,att verizon,pos,0.125,0,"RT @NJBIA: Shout out to @att, @IBEWLocal102, @NJIT, @NJMIns, UTC Associates, and @Verizon for supporting today‚Äôs event, the Future of Work!‚Ä¶",rt shout out to @att utc associates and @verizon for supporting today s event the future of work
6805,att verizon,neu,0,1,"The cheek of them, I'd sue the hell out of them for not giving you a refund back and I'm sure they have broken laws too x‚Ä¶ https://t.co/fkdJ42bhJ5""",the cheek of them sue the hell out of them for not giving you a refund back and sure they have broken laws too x
6816,att verizon,neg,-0.5,0,@MisterPreda @verizon @ATT Sorry yo hear that Daniel,@verizon @att sorry yo hear that daniel
6817,att verizon,pos,0.6,0,"Even so must be nice to have money in the bank like that, my banks at $0 has been for awhile, I‚Äôm homeless & have so much debt. Be grateful for the life ya have kids because ya can lose everything in an instant.‚Ä¶ https://t.co/8UZaytt9ow""",even so must be nice to have money in the bank like that my banks at has been for awhile i m homeless have so much debt be grateful for the life ya have kids because ya can lose everything in an instant
6825,att verizon,neu,0,1,@MisterPreda @verizon @ATT Please sue them,@verizon @att please sue them
6833,att verizon,pos,0.5,0,@MisterPreda @verizon @ATT Omg! How did that start and are you able to file police report?,@verizon @att omg how did that start and are you able to file police report
6834,att verizon,pos,0.05,0,"This is why I went back to the gold old tracphone days, now I just buy an unlimited card every month which is so much cheaper & there‚Äôs no way for a company to screw me.‚Ä¶ https://t.co/QmbM2w8sIL""",this is why i went back to the gold old tracphone days now i just buy an unlimited card every month which is so much cheaper there s no way for a company to screw me
3174,verizon tmobile,neg,-1,1,"don't know as I have ever tried it but it looks disgusting and I am a TMobile customer for many years, so there.‚Ä¶ https://t.co/sMgtYyJR0u""",know as i have ever tried it but it looks disgusting and i am a tmobile customer for many years so there
3187,verizon tmobile,neg,-0.166666667,0,"But seriously form a proper thought. Cause you're all over. #tryagain #idontcareyourprovider #speakenglish‚Ä¶ https://t.co/nWRRs7RUQh""",but seriously form a proper thought cause all over
3191,verizon tmobile,neu,0,1,@JohnLegere I got to of my employees to leave @verizon and switch to @TMobile,i got to of my employees to leave @verizon and switch to @tmobile
3210,verizon tmobile,neu,0,0,"I'm with @TMobile and hmm I don't like white cheddar popcorn... No offense @piratesbooty #idontlikecheesystuff‚Ä¶ https://t.co/QYNAY28AbM""",with @tmobile and hmm i like white cheddar popcorn no offense
3227,verizon tmobile,neu,0,1,@ronald_809_ @NevilleRay @JohnLegere @TMobile That‚Äôs nothing campared to Verizon‚Äôs speed.,@tmobile that s nothing campared to verizon s speed
3254,verizon tmobile,pos,0.125,1,@JohnLegere @ihadztotweet @piratesbooty @verizon Haha! I don‚Äôt like it &amp; actually with @TMobile !!,@verizon haha i don t like it actually with @tmobile
3258,verizon tmobile,neg,-0.288461538,0,"Well sorry John you loose the $100 bucks I use @TMobile but I don't care for @piratesbooty. But I don't like potato chips either.‚Ä¶ https://t.co/H0YgC1lwRr""",well sorry john you loose the bucks i use @tmobile but i care for but i like potato chips either
3261,verizon tmobile,neu,0,0,@JohnLegere @piratesbooty @verizon üòÖ been a TMobile customer since 2017 and I can't stand that stuff,@verizon been a tmobile customer since and i stand that stuff
3265,verizon tmobile,pos,0.1625,0,@JohnLegere @piratesbooty @verizon Not true. I dont love Pirate's Booty and Ive had TMOBILE for years.,@verizon not true i dont love booty and ive had tmobile for years
3278,verizon tmobile,neg,-0.5,1,"Hey @JohnLegere  sorry but I‚Äôm on @TMobile and I don‚Äôt like @piratesbooty.  Used to be on @verizon and I still didn‚Äôt like it then.‚Ä¶ https://t.co/EjmIfwV69u""",hey sorry but i m on @tmobile and i don t like used to be on @verizon and i still didn t like it then
3283,verizon tmobile,neu,0,0,@JohnLegere @piratesbooty @verizon Tmobile tuesday some of that to usü§£ü§£,@verizon tmobile tuesday some of that to us
3286,verizon tmobile,neu,0,0,@JohnLegere @piratesbooty @verizon I ‚ù§Ô∏è @piratesbooty! I ‚ù§Ô∏è @TMobile too!!,@verizon i i @tmobile too
3288,verizon tmobile,neu,0,0,"You thinking what I‚Äôm thinking 

TMobile
Pirate Booty On Us‚Ä¶ """,you thinking what i m thinking tmobile pirate booty on us
3302,verizon tmobile,neu,0,0,@VIP3R187 @JohnLegere @piratesbooty @verizon @TMobile Same i went to sprint i hope they dont f*** them up too,@verizon @tmobile same i went to sprint i hope they dont f them up too
3306,verizon tmobile,pos,0.333333333,0,@JohnLegere @piratesbooty @verizon Loyal @TMobile cusotmer. Can‚Äôt stand the booty.,@verizon loyal @tmobile cusotmer can t stand the booty
3309,verizon tmobile,pos,0.4,0,"@TheJadeGeek @JohnLegere @piratesbooty @verizon Never heard of it. Must not be required to enjoy life. 
Credit my @tmobile account.",@verizon never heard of it must not be required to enjoy life credit my @tmobile account
3311,verizon tmobile,neu,0,0,@JohnLegere @piratesbooty @verizon never tried em can I have some? also Tmobile for Life,@verizon never tried em can i have some also tmobile for life
3321,verizon tmobile,neu,0,0,@JohnLegere @piratesbooty @verizon Never had it and I‚Äôm on @TMobile,@verizon never had it and i m on @tmobile
3334,verizon tmobile,neu,0,0,@JohnLegere @piratesbooty @verizon I don't and I have TMobile üòÇüòÇüòÇüòÇ,@verizon i and i have tmobile
3338,verizon tmobile,neu,0,0,@JohnLegere @piratesbooty @verizon How about u cash app me those $100 since I've been with tmobile since it was voice stream!!! 1999,@verizon how about u cash app me those since been with tmobile since it was voice stream
3339,verizon tmobile,neu,0,0,@JohnLegere @piratesbooty @verizon Don‚Äôt like @piratesbooty and I‚Äôm on @TMobile pay up,@verizon don t like and i m on @tmobile pay up
3340,verizon tmobile,neu,0,0,"@JohnLegere @piratesbooty @verizon I don't and I'm a @TMobile customer. 
#IllTakeThatBenjamin",@verizon i and a @tmobile customer
3342,verizon tmobile,neu,0,0,@JohnLegere @piratesbooty @verizon I don‚Äôt but I do have @TMobile,@verizon i don t but i do have @tmobile
3594,verizon tmobile,neu,0,1,"I never got the reimbursement for leaving Verizon to join you guys so who knows if I‚Äôd ever even see a paycheck‚Ä¶ https://t.co/lXrePC64Ry""",i never got the reimbursement for leaving verizon to join you guys so who knows if i d ever even see a paycheck
3598,verizon tmobile,neg,-0.8125,1,Switching to @Verizon was one of the worst mistakes I made in 2019 ü§¨ü§¨ü§¨ü§¨. I hope @Tmobile isn‚Äôt too mad.,switching to @verizon was one of the worst mistakes i made in i hope @tmobile isn t too mad
60611,att verizon tmobile,neg,-0.0375,0,"@verizon @VerizonSupport @TMobile @TMobileHelp @ATT ""The rollout of RCS messaging has been a complete mess."" << This right here. You ALL Rollout BILLING notifications and ""unlimited"" data plans quite quickly...but RCS--a major, and necessary advancement--",@verizon @verizonsupport @tmobile @tmobilehelp @att the rollout of rcs messaging has been a complete mess this right here you all rollout billing notifications and unlimited data plans quite quickly but major and necessary get feet draggers
60931,att verizon tmobile,pos,1,0,RT @mojica_jen: @tinormous @sprint @verizon @ATT @TMobile  @alticemobile I think this is a great idea to #clearthelists !,rt @verizon @att @tmobile i think this is a great idea to
61051,att verizon tmobile,neg,-0.8,1,"Alex, if Tmobile Service in your area is inadequate, consider Verizon. I would just hate to see anyone get sucked into the vortex of garbage customer service that is @ATT. Hands down the worst customer service in the industry.‚Ä¶ https://t.co/G1DQNMMvou""",alex if tmobile service in your area is inadequate consider verizon i would just hate to see anyone get sucked into the vortex of garbage customer service that is @att hands down the worst customer service in the industry
61103,att verizon tmobile,pos,1,0,@tinormous @sprint @verizon @ATT @TMobile  @alticemobile I think this is a great idea to #clearthelists !,@verizon @att @tmobile i think this is a great idea to
61587,att verizon tmobile,pos,0.35,0,"@JayWillBeJay @DjKSin True. I used to think att, verizon and tmobile, boost mobile was used everywhere",true i used to think att verizon and tmobile boost mobile was used everywhere
61613,att verizon tmobile,neu,0,0,"@ATT @verizon @TMobile have you seen what your customers want? How about you give it is instead if doing nothing or ""working"" on your own... That no one will use!‚Ä¶ https://t.co/2YziPil1j5""",@att @verizon @tmobile have you seen what your customers want how about you give it is instead if doing nothing or working on your own that no one will use
61701,att verizon tmobile,neu,0,0,"Buddy call @TMobile I've been with them since '98.  Global travel, lived in multiple states, zero issues.  My buddy @JohnLegere has that sh** down very well.‚Ä¶ https://t.co/o3oggrgXNM""",buddy call @tmobile been with them since global travel lived in multiple states zero issues my buddy has that sh down very well
61937,att verizon tmobile,pos,0.2,0,"May we if we tag @AppleSupport @Apple @TMobile @ATT @verizon we might see who can really help us. Let the cell phone tech games begin.‚Ä¶ https://t.co/2dcTYNuOmJ""",may we if we tag @tmobile @att @verizon we might see who can really help us let the cell phone tech games begin
62168,att verizon tmobile,neg,-0.077777778,0,@iiAMGr3ATN3Zz @jgobble @suttera2 @JohnLegere @verizon @TMobile @ATT Deep down he knows he‚Äôs losing money,@verizon @tmobile @att deep down he knows he s losing money
62198,att verizon tmobile,neu,0,0,@jgobble @suttera2 @JohnLegere @verizon @TMobile @ATT And you‚Äôre here because........?,@verizon @tmobile @att and you re here because
63401,att verizon tmobile,neu,0,0,"@verizon @ATT @TMobile you all should just accept RCS on ALL of your devices. Stop holding it back and think of what your users actually want, not what you think we want.""",@verizon @att @tmobile you all should just accept rcs on all of your devices stop holding it back and think of what your users actually want not what you think we want
63498,att verizon tmobile,neg,-0.015151515,0,"LG V35 ThinQ 64GB - Aurora Black (Unlocked) Brand New ATT TMobile Verizon https://t.co/lx5bYY0KQ9‚Ä¶ """,lg thinq aurora black unlocked brand new att tmobile verizon
82362,att verizon tmobile,pos,0.06,1,RT @hawkeyeinmd: @judytoxic @TMobile @verizon I left the Big Red Devil a few year ago for @ATT and absolutely love them. Saving money every‚Ä¶,rt @tmobile @verizon i left the big red devil a few year ago for @att and absolutely love them saving money every
82538,att verizon tmobile,neu,0,1,"@ATT , what are you going to do about Zucker and @CNN ? Do we have to switch to @verizon , @sprint or @TMobile to get your attention? Or maybe @Xfinity ?""",@att what are you going to do about zucker and do we have to switch to @verizon or @tmobile to get your attention or maybe
82742,att verizon tmobile,neg,-0.3,0,"@DrHorwitz @MichelCombes @FCC @TMobile @verizon @ATT @StateFairOfTX Retweeted, as you asked. But can I ask what your complaint was?",@tmobile @verizon @att retweeted as you asked but can i ask what your complaint was
82894,att verizon tmobile,pos,0.06,1,"I left the Big Red Devil a few year ago for @ATT and absolutely love them. Saving money every month and actually have better coverage now/‚Ä¶ https://t.co/hA36Wv0utk""",i left the big red devil a few year ago for @att and absolutely love them saving money every month and actually have better coverage now
82897,att verizon tmobile,neu,0,0,"Samsung Galaxy S9+ SM-G965 - 64GB - Coral Blue ATT TMobile Verizon Sprint‚Ä¶ """,samsung galaxy coral blue att tmobile verizon sprint
83114,att verizon tmobile,neu,0,0,"Samsung Galaxy S9+ SM-G965 - 64GB - Coral Blue ATT TMobile Verizon Sprint‚Ä¶ """,samsung galaxy coral blue att tmobile verizon sprint
83254,att verizon tmobile,pos,0.166666667,1,@TMobile I LOVE YOU @verizon sucks and they lie also @ATT  and I hope that the merger is a success,@tmobile i love you @verizon sucks and they lie also @att and i hope that the merger is a success
83393,att verizon tmobile,neu,0,1,"Sprint HQ is in my city and I will never ever use their service. It is the worst, especially around their campus (ironically). Glad to know their customer service matches the cellular service.‚Ä¶ https://t.co/Sz7XHvPYue""",sprint hq is in my city and i will never ever use their service it is the worst especially around their campus ironically glad to know their customer service matches the cellular service
83729,att verizon tmobile,neg,-0.015151515,0,"LG V35 ThinQ 64GB - Aurora Black (Unlocked) Brand New ATT TMobile Verizon https://t.co/lx5bYY0KQ9‚Ä¶ """,lg thinq aurora black unlocked brand new att tmobile verizon
83931,att verizon tmobile,pos,0.136363636,0,"RT @SamsungNetworks: Wireless operators like @tmobile, @verizon, @ATT and @Sprint are cultivating new products and services with #5G entrep‚Ä¶",rt wireless operators like @tmobile @verizon @att and are cultivating new products and services with entrep
84383,att verizon tmobile,pos,0.43125,0,"Stop misleading great customers of the major carriers like @ATT,@verizon & @TMobile. You should start by making sure to give people all their options! So many things you can improve on why not customer care instead of focusing on profit!‚Ä¶ https://t.co/4FyA4ZKKxy""",stop misleading great customers of the major carriers like @att @verizon @tmobile you should start by making sure to give people all their options so many things you can improve on why not customer care instead of focusing on profit
84394,att verizon tmobile,pos,0.43125,0,"Stop misleading great customers of the major carriers like @ATT,@verizon & @TMobile. You should start by making sure to give people all their options! So many things you can improve on why not customer care instead of focusing on profit!‚Ä¶ https://t.co/jENuM5380M""",stop misleading great customers of the major carriers like @att @verizon @tmobile you should start by making sure to give people all their options so many things you can improve on why not customer care instead of focusing on profit
85178,att verizon tmobile,neg,-0.2,1,"RT @DavidLalone78: @blueoysterdvp @verizon @ATT @TMobile @sprint I think after my phones and shit are paid off, I might try @ATT Wireless",rt @verizon @att @tmobile i think after my phones and shit are paid off i might try @att wireless
27290,att tmobile,neu,0,0,@JohnLegere @ATT @TMobile Maybe PR should piss or get off the pot !  Become a State or just exist as a 3rd world Carib Island.,@att @tmobile maybe pr should piss or get off the pot become a state or just exist as a world carib island
27299,att tmobile,neg,-0.354545455,0,@JohnLegere @ATT @TMobile Anybody give a shit about the new Star Wars movie ?  Looks like crap to Me !,@att @tmobile anybody give a shit about the new star wars movie looks like crap to me
27364,att tmobile,neu,0,0,@ATT @Prettyymichee @SamirGotti @TMobile would never!!!,@att @tmobile would never
27461,att tmobile,neg,-0.054545455,0,"Love @TMobile services, T-Mobile Tuesday and cheaper  plan compare to @ATT .  But hate the new iPhone promotions on… https://t.co/rEmCuNFz06",love @tmobile services tuesday and cheaper plan compare to @att but hate the new iphone promotions on
28139,att tmobile,neu,0,1,"Iswitched from ATT to @TMobile at Chi Marathon expo. Got a credit that basically made the 11 free (trading in my 6s). Love the new phone, turned off the creepy face-unlock function. Love that my bill went down! #TmobileMagMile had concierge service. @JohnLegere should be proud!… https://t.co/62LF0u4e3m""",iswitched from att to @tmobile at chi marathon expo got a credit that basically made the free trading in my love the new phone turned off the creepy function love that my bill went down #tmobilemagmile had concierge service should be proud
28650,att tmobile,pos,0.25,1,"RT @lizzyborden42: Hey @ATT I’m currently with @TMobile, have about 10 lines. Do you all cover switching companies? Also are you able to po…",rt hey @att i m currently with @tmobile have about lines do you all cover switching companies also are you able to po
28651,att tmobile,neu,0,0,"Hey @ATT I’m currently with @TMobile, have about 10 lines. Do you all cover switching companies? Also are you able to port over existing cell #’s?""",hey @att i m currently with @tmobile have about lines do you all cover switching companies also are you able to port over existing cell s
29190,att tmobile,neu,0,1,@ATTHelp Update it’s been an hour! Still on hold should’ve stayed my ass with @TMobile,@atthelp update it s been an hour still on hold should ve stayed my ass with @tmobile
29456,att tmobile,pos,0.2,1,@ATTHelp is really testing my patience. ,@atthelp is really testing my patience @tmobilehelp you up
,,,,,,
,,,,,@TMobileHelp   You up?,
35815,att tmobile,neu,0,1,@JohnLegere. This was all day yesterday. ,this was all day yesterday why oh why did i ever switch to @tmobile hey @att are you any better how about @verizon
,,,,,"Why oh why did I ever switch to @tmobile?? Hey @ATT. Are you any better? @FCC how about @verizon ?… https://t.co/NC7mGWQpub""",
37459,att tmobile,pos,0.1,1,@mr_iguy @TMobile @ATT Don't get ATT if you use voicemail. #ATTserverOutage since early October.,@tmobile @att get att if you use voicemail #attserveroutage since early october
37666,att tmobile,pos,0.8,0,@JohnLegere @ATT @TMobile T-Mobile for the Win,@att @tmobile for the win
38008,att tmobile,neg,-0.125,1,"How to fix @CNN.  Go to your nearest @ATT store and tell them you are switching to @TMobile or some other cell phone company.  If we all do it that will send them a message.""",how to fix go to your nearest @att store and tell them you are switching to @tmobile or some other cell phone company if we all do it that will send them a message
38207,att tmobile,neu,0,0,"Apple iPhone 5c  8Gb,16GB ,32Gb    Factory GSM Unlocked Att Tmobile 4G LTE Unbeatable! $58.97 https://t.co/2LqJixMBMC… https://t.co/RQs2nec7GH""",apple iphone factory gsm unlocked att tmobile lte unbeatable
38369,att tmobile,neu,0,1,"Trying to decide who I should give my business too @TMobile or @ATT  for my business cellphone and tablet #tmobile or #att who do I go with ? Who is gonna give me the best deal upfront ?""",trying to decide who i should give my business too @tmobile or @att for my business cellphone and tablet #tmobile or #att who do i go with who is gonna give me the best deal upfront
38491,att tmobile,pos,0.108333333,1,@TMobile Service for my area sucks Back to @ATT for there service is way better!,@tmobile service for my area sucks back to @att for there service is way better
38688,att tmobile,pos,0.4,1,@AndyAmez89 @ATT *AT&amp;T has left the chat*,@att at t has left the chat welcome to the family andy
,,,,,,
,,,,,"Welcome to the family, Andy __",
40288,att tmobile,pos,0.4,0,@askdes @TMobile Easy....ATT after 10 years stuck here...hehehe...I'm free,@tmobile easy att after years stuck here hehehe free
40715,att tmobile,neu,0,0,@Kat_Eden @sprint @tracySprint @MichelCombes @ATT @TMobile I’d take your call anytime!!,@att @tmobile i d take your call anytime
40778,att tmobile,neu,0,0,@IamBlackMagic @TMobile @ATT bruv,@tmobile @att bruv
42088,att tmobile,neu,0,1,@TMobile you guys are liarsssss I am@posting all the chats where you guys have lied. @ATT here we come.,@tmobile you guys are liarsssss i am all the chats where you guys have lied @att here we come
42113,att tmobile,neu,0,1,@JohnLegere @TMobile I watch you every Sunday. I feel like I should leave ATT abs switch to ,@tmobile i watch you every sunday i feel like i should leave att abs switch to
,,,,,T-Mobile.,
42345,att tmobile,neu,0,1,Think Im done with @sprint __________ @ATT @TMobile ____,think im done with @att @tmobile
43671,att tmobile,neu,0,1,"@ATTHelp So I switched my service to @TMobileHelp in June.  I was told that once we coordinate porting our numbers our AT&T billing will cease. WRONG! Despite calling 3 separate times to confirm my AT&T service cancellation, I just received a $700 bill.  ",@atthelp so i switched my service to @tmobilehelp in june i was told that once we coordinate porting our numbers our at t billing will cease wrong despite calling separate times to confirm my at t service cancellation i just received a bill what a joke
48332,att tmobile,neg,-0.1,1,"Save yourself the headaches Jenna. @ATT is ranked dead last in customer service for a reason. Just peruse their twitter handle. Garbage company. If you have to try someone else other than @TMobile, pay a few dollars more for @verizon. It’s worth it. @ATTHelp really is that bad.… https://t.co/p7epycCIVW""",save yourself the headaches jenna @att is ranked dead last in customer service for a reason just peruse their twitter handle garbage company if you have to try someone else other than @tmobile pay a few dollars more for @verizon it s worth it @atthelp really is that bad
48955,att tmobile,neg,-0.75,1,"AT&T is an evil empire. Their business practices are corrupt, and they have no conscience or ethics. It's amazing that anyone still uses their services. Time to switch if you haven't had to already. Highly recommended to drop them.… https://t.co/Kjq6LKI20J""",at t is an evil empire their business practices are corrupt and they have no conscience or ethics amazing that anyone still uses their services time to switch if you had to already highly recommended to drop them
49553,att tmobile,pos,0.25,0,@VZWBayRidge @TMobile @sprint @ATT ,@tmobile @att whoever gets a pixel sent to us first has our business from now on you can send the bill along with it dm for address
,,,,,"Whoever gets a pixel 3 sent to us first has our business from now on. You can send the bill along with it. Dm for address.""",
50496,att tmobile,neg,-0.3,1,@JohnLegere @TMobile @ATT. John is the slow cooker done.? I'm still waiting. Barbs gone for the day. She promised to let me know when the system was fixed. Almost 10 hrs now. #slowcookersunday why did I switch to @TMobile 4 yrs ago? WOW. Worse than the ca,@tmobile @att john is the slow cooker done still waiting barbs gone for the day she promised to let me know when the system was fixed almost hrs now why did i switch to @tmobile yrs ago wow worse than the cable co
51075,att tmobile,pos,0.136363636,1,@TMobile Y’all need to get me off this att plan and give me that new iPhone 11.,@tmobile y all need to get me off this att plan and give me that new iphone
51479,att tmobile,neu,0,1,@att I need some information about my trade in value if I become a customer and what are the deals. I’m currently with @TMobile,@att i need some information about my trade in value if i become a customer and what are the deals i m currently with @tmobile
52559,att tmobile,pos,0.136363636,1,@JohnLegere @ATT @TMobile ATT is Trash if you live in NYC,@att @tmobile att is trash if you live in nyc
52896,att tmobile,neg,-1,1,@CordCuttersNews @TMobile T-Mobile is going to be worst than att TV now or Directvnow. Their price start at about $90,@tmobile is going to be worst than att tv now or directvnow their price start at about
53697,att tmobile,pos,0.05,1,"I’ve been trying @TMobile in #Chicago. A great alternative to bad speeds of @ATT. I wish #TMobile offered @netflix perks to single lines. @JohnLegere make it happen!""",i ve been trying @tmobile in a great alternative to bad speeds of @att i wish #tmobile offered perks to single lines make it happen
53805,att tmobile,pos,0.2,1,"Thanks T-Mobile, it’s taken @ATT weeks to respond with no prevail... parent have been customers since 1998, guess that doesn’t matter these days.… https://t.co/wT8pufaM88""",thanks it s taken @att weeks to respond with no prevail parent have been customers since guess that doesn t matter these days
53882,att tmobile,neu,0,0,RT @dammit_dell: @MandoMonroe00 ATT and TMobile,rt att and tmobile
54269,att tmobile,neu,0,1,"Nope @ATT is wayy faster than when I had @TMobile… """,nope @att is wayy faster than when i had @tmobile
54457,att tmobile,neu,0,0,@MandoMonroe00 ATT and TMobile,att and tmobile
54489,att tmobile,neu,0,0,"Dear @MotorolaUS @ATT @Apple @TMobile and whoever else, the hell with the razr phone...BRING BACK THE NEXTEL JOINTS!!!!!!!!",dear @att @tmobile and whoever else the hell with the razr phone bring back the nextel joints
54882,att tmobile,neu,0,1,"As soon as I get my price gouging email I’m canceling my att now account! So glad I dropped you guys for T-Mobile! @ATT @ATTHelp… https://t.co/BLwezxlN0r""",as soon as i get my price gouging email i m canceling my att now account so glad i dropped you guys for @att @atthelp
55065,att tmobile,neg,-0.125,1,RT @PunkyPaneteddo: How to fix @CNN.  Go to your nearest @ATT store and tell them you are switching to @TMobile or some other cell phone co…,rt how to fix go to your nearest @att store and tell them you are switching to @tmobile or some other cell phone co
56256,att tmobile,pos,0.1,0,@JohnLegere They made a business decision to leave. A corporation can only do so much before it stops making sense. You can not operate in a market where you continue to lose money.  It will only end with customers in other countries suffering from higher,they made a business decision to leave a corporation can only do so much before it stops making sense you can not operate in a market where you continue to lose money it will only end with customers in other countries suffering from higher prices to cover losses
56297,att tmobile,neu,0,0,@JohnLegere @ATT @TMobile GET OFF MY TIMELINE,@att @tmobile get off my timeline
56379,att tmobile,neu,0,1,"Hey @JohnLegere, since @ATT is all about misleading customers with this ""5G E"" icon can @TMobile just ""launch"" 6G and make everyone's phone say it just to troll them and my one friend still on AT&T? Thanks!""",hey since @att is all about misleading customers with this e icon can @tmobile just launch and make phone say it just to troll them and my one friend still on at t thanks
